user_id,name,email,city,join_date,kyc_status
U0001,User_U0001,u0001@email.com,Mumbai,2021-11-01,VERIFIED
U0002,User_U0002,u0002@email.com,Chennai,2022-10-23,VERIFIED
U0003,User_U0003,u0003@email.com,Chennai,2021-12-27,REJECTED
U0004,User_U0004,u0004@email.com,Ahmedabad,2021-01-14,REJECTED
U0005,User_U0005,u0005@email.com,Jaipur,2022-03-12,VERIFIED
U0006,User_U0006,u0006@email.com,Hyderabad,2022-11-13,REJECTED
U0007,User_U0007,u0007@email.com,Mumbai,2022-11-30,REJECTED
U0008,User_U0008,u0008@email.com,Pune,2022-10-12,REJECTED
U0009,User_U0009,u0009@email.com,Mumbai,2022-10-07,REJECTED
U0010,User_U0010,u0010@email.com,Bangalore,2020-07-18,PENDING
U0011,User_U0011,u0011@email.com,Jaipur,2022-12-15,VERIFIED
U0012,User_U0012,u0012@email.com,Ranchi,2021-09-17,PENDING
U0013,User_U0013,u0013@email.com,Pune,2022-08-27,REJECTED
U0014,User_U0014,u0014@email.com,Hyderabad,2021-12-05,REJECTED
U0015,User_U0015,u0015@email.com,Hyderabad,2022-12-31,REJECTED
U0016,User_U0016,u0016@email.com,Mumbai,2022-02-23,REJECTED
U0017,User_U0017,u0017@email.com,Pune,2021-10-16,REJECTED
U0018,User_U0018,u0018@email.com,Chennai,2020-03-03,REJECTED
U0019,User_U0019,u0019@email.com,Kolkata,2022-02-26,VERIFIED
U0020,User_U0020,u0020@email.com,Ahmedabad,2021-10-19,REJECTED
U0021,User_U0021,u0021@email.com,Bangalore,2021-12-01,PENDING
U0022,User_U0022,u0022@email.com,Bangalore,2021-10-08,PENDING
U0023,User_U0023,u0023@email.com,Ranchi,2021-02-13,VERIFIED
U0024,User_U0024,u0024@email.com,Kolkata,2021-10-27,REJECTED
U0025,User_U0025,u0025@email.com,Hyderabad,2022-08-02,PENDING
U0026,User_U0026,u0026@email.com,Chennai,2021-02-13,VERIFIED
U0027,User_U0027,u0027@email.com,Kolkata,2020-05-06,REJECTED
U0028,User_U0028,u0028@email.com,Mumbai,2021-11-23,VERIFIED
U0029,User_U0029,u0029@email.com,Delhi,2022-12-17,PENDING
U0030,User_U0030,u0030@email.com,Jaipur,2020-08-14,VERIFIED
U0031,User_U0031,u0031@email.com,Ranchi,2021-05-27,REJECTED
U0032,User_U0032,u0032@email.com,Chennai,2020-08-12,VERIFIED
U0033,User_U0033,u0033@email.com,Chennai,2020-08-18,VERIFIED
U0034,User_U0034,u0034@email.com,Chennai,2022-05-03,VERIFIED
U0035,User_U0035,u0035@email.com,Hyderabad,2020-07-23,PENDING
U0036,User_U0036,u0036@email.com,Ranchi,2020-05-28,REJECTED
U0037,User_U0037,u0037@email.com,Kolkata,2022-02-05,VERIFIED
U0038,User_U0038,u0038@email.com,Jaipur,2020-12-17,VERIFIED
U0039,User_U0039,u0039@email.com,Chennai,2020-04-19,PENDING
U0040,User_U0040,u0040@email.com,Chennai,2020-12-27,REJECTED
U0041,User_U0041,u0041@email.com,Hyderabad,2021-05-03,PENDING
U0042,User_U0042,u0042@email.com,Delhi,2021-01-26,REJECTED
U0043,User_U0043,u0043@email.com,Ranchi,2022-07-22,PENDING
U0044,User_U0044,u0044@email.com,Kolkata,2021-05-30,PENDING
U0045,User_U0045,u0045@email.com,Bangalore,2022-05-01,VERIFIED
U0046,User_U0046,u0046@email.com,Pune,2021-10-07,VERIFIED
U0047,User_U0047,u0047@email.com,Mumbai,2022-04-18,VERIFIED
U0048,User_U0048,u0048@email.com,Ranchi,2021-06-12,VERIFIED
U0049,User_U0049,u0049@email.com,Hyderabad,2020-04-20,REJECTED
U0050,User_U0050,u0050@email.com,Chennai,2021-04-26,PENDING
U0051,User_U0051,u0051@email.com,Pune,2021-01-25,VERIFIED
U0052,User_U0052,u0052@email.com,Jaipur,2022-01-01,REJECTED
U0053,User_U0053,u0053@email.com,Hyderabad,2020-01-06,REJECTED
U0054,User_U0054,u0054@email.com,Chennai,2021-09-10,REJECTED
U0055,User_U0055,u0055@email.com,Jaipur,2022-04-25,VERIFIED
U0056,User_U0056,u0056@email.com,Ranchi,2020-12-15,VERIFIED
U0057,User_U0057,u0057@email.com,Bangalore,2021-04-19,PENDING
U0058,User_U0058,u0058@email.com,Bangalore,2020-10-22,REJECTED
U0059,User_U0059,u0059@email.com,Pune,2020-05-11,PENDING
U0060,User_U0060,u0060@email.com,Kolkata,2021-04-28,PENDING
U0061,User_U0061,u0061@email.com,Hyderabad,2022-03-29,REJECTED
U0062,User_U0062,u0062@email.com,Pune,2020-10-21,VERIFIED
U0063,User_U0063,u0063@email.com,Kolkata,2021-09-23,VERIFIED
U0064,User_U0064,u0064@email.com,Chennai,2021-10-12,VERIFIED
U0065,User_U0065,u0065@email.com,Chennai,2022-08-13,VERIFIED
U0066,User_U0066,u0066@email.com,Hyderabad,2021-03-12,PENDING
U0067,User_U0067,u0067@email.com,Bangalore,2021-12-13,VERIFIED
U0068,User_U0068,u0068@email.com,Pune,2021-08-27,REJECTED
U0069,User_U0069,u0069@email.com,Pune,2021-07-13,REJECTED
U0070,User_U0070,u0070@email.com,Mumbai,2020-11-09,REJECTED
U0071,User_U0071,u0071@email.com,Chennai,2020-10-06,VERIFIED
U0072,User_U0072,u0072@email.com,Jaipur,2021-03-05,VERIFIED
U0073,User_U0073,u0073@email.com,Pune,2021-07-23,VERIFIED
U0074,User_U0074,u0074@email.com,Mumbai,2022-11-08,REJECTED
U0075,User_U0075,u0075@email.com,Ahmedabad,2020-09-19,VERIFIED
U0076,User_U0076,u0076@email.com,Mumbai,2021-10-14,REJECTED
U0077,User_U0077,u0077@email.com,Ranchi,2020-03-01,PENDING
U0078,User_U0078,u0078@email.com,Pune,2021-04-18,VERIFIED
U0079,User_U0079,u0079@email.com,Bangalore,2022-11-26,PENDING
U0080,User_U0080,u0080@email.com,Jaipur,2020-12-22,VERIFIED
U0081,User_U0081,u0081@email.com,Delhi,2020-11-25,REJECTED
U0082,User_U0082,u0082@email.com,Pune,2020-10-15,PENDING
U0083,User_U0083,u0083@email.com,Bangalore,2022-03-02,VERIFIED
U0084,User_U0084,u0084@email.com,Hyderabad,2022-10-04,VERIFIED
U0085,User_U0085,u0085@email.com,Kolkata,2020-04-01,VERIFIED
U0086,User_U0086,u0086@email.com,Delhi,2020-02-11,VERIFIED
U0087,User_U0087,u0087@email.com,Pune,2022-09-29,REJECTED
U0088,User_U0088,u0088@email.com,Pune,2022-01-17,REJECTED
U0089,User_U0089,u0089@email.com,Jaipur,2020-01-30,REJECTED
U0090,User_U0090,u0090@email.com,Chennai,2022-01-17,REJECTED
U0091,User_U0091,u0091@email.com,Bangalore,2022-06-19,PENDING
U0092,User_U0092,u0092@email.com,Chennai,2020-07-13,PENDING
U0093,User_U0093,u0093@email.com,Pune,2020-03-26,REJECTED
U0094,User_U0094,u0094@email.com,Kolkata,2022-01-27,PENDING
U0095,User_U0095,u0095@email.com,Chennai,2021-06-21,PENDING
U0096,User_U0096,u0096@email.com,Hyderabad,2021-10-29,REJECTED
U0097,User_U0097,u0097@email.com,Ahmedabad,2022-03-03,PENDING
U0098,User_U0098,u0098@email.com,Ahmedabad,2021-04-06,PENDING
U0099,User_U0099,u0099@email.com,Ranchi,2022-05-08,REJECTED
